Temporada,Posicion J38,Equipo,Puntos J38,PJ Total,G Total,E Total,PTotal,GF Total,GC Total,Dif Total,Posicion J29,Equipo J29,Puntos J29,PJ 29,G 29,E 29,P 29,GF 29,GC 29,Dif 29
1999,1,Barcelona,74,38,23,5,10,78,56,22,1,Barcelona,59,29,18,5,6,65,33,32
1999,2,Athletic Club,65,38,17,14,7,52,42,10,2,R. C. Celta de Vigo,52,29,14,10,5,58,29,29
1999,3,Real Sociedad,63,38,16,15,7,60,37,23,3,Valencia C. F.,51,29,15,6,8,44,28,16
1999,4,Real Madrid C. F.,63,38,17,12,9,63,45,18,4,R. C. D. Mallorca,51,29,15,6,8,32,21,11
1999,5,R. C. D. Mallorca,60,38,16,12,10,55,39,16,5,Real Madrid C. F.,49,29,15,4,10,58,49,9
1999,6,R. C. Celta de Vigo,60,38,17,9,12,54,47,7,6,Deportivo de La Coruña,48,29,13,9,7,41,31,10
1999,7,Atlético de Madrid,60,38,16,12,10,79,56,23,7,Athletic Club,44,29,12,8,9,33,34,-1
1999,8,Real Betis Balompié,59,38,17,8,13,49,50,-1,8,Real Sociedad,42,29,11,9,9,35,32,3
1999,9,Valencia C. F.,55,38,16,7,15,58,52,6,9,Real Zaragoza,40,29,11,7,11,41,39,2
1999,10,R. C. D. Espanyol,53,38,12,17,9,44,31,13,10,R. C. D. Espanyol,39,29,9,12,8,31,33,-2
1999,11,Real Valladolid C. F.,50,38,13,11,14,36,47,-11,11,Real Oviedo,38,29,9,11,9,33,38,-5
1999,12,Deportivo de La Coruña ,49,38,12,13,13,44,46,-2,12,Real Betis Balompié,37,29,10,7,12,28,36,-8
1999,13,Real Zaragoza,48,38,12,12,14,45,53,-8,13,Real Valladolid C. F.,37,29,10,7,12,29,32,-3
1999,14,Racing de Santander,45,38,12,9,17,46,55,-9,14,Atlético de Madrid,35,29,9,8,12,43,38,5
1999,15,UD Salamanca,45,38,12,9,17,46,46,0,15,Racing de Santander,35,29,9,8,12,36,40,-4
1999,16,Tenerife,45,38,11,12,15,44,57,-13,16,Villarreal C. F.,32,29,7,11,11,35,43,-8
1999,17,SD Compostela,44,38,11,11,16,56,66,-10,17,Deportivo Alavés,30,29,8,6,15,28,42,-14
1999,18,Real Oviedo,40,38,9,13,16,36,51,-15,18,CF Extremadura,26,29,6,8,15,19,45,-26
1999,19,Mérida ,39,38,9,12,17,33,53,-20,19,Tenerife,24,29,4,12,13,28,45,-17
1999,20,Sporting de Gijón ,13,38,2,7,29,31,80,-49,20,UD Salamanca,22,29,6,4,19,23,52,-29
2000,1,Deportivo de La Coruña ,69,38,21,6,11,66,44,22,1,Deportivo de La Coruña,52,29,16,4,9,49,35,14
2000,2,Barcelona,64,38,19,7,12,70,46,24,2,Barcelona,50,29,15,5,9,58,35,23
2000,3,Valencia C. F.,64,38,18,10,10,59,39,20,3,Deportivo Alavés,49,29,14,7,8,35,29,6
2000,4,Real Zaragoza,63,38,16,15,7,60,40,20,4,Real Zaragoza,48,29,12,12,5,48,31,17
2000,5,Real Madrid C. F.,62,38,16,14,8,58,48,10,5,Real Madrid C. F.,48,29,12,12,5,49,41,8
2000,6,Deportivo Alavés,61,38,17,10,11,41,37,4,6,Valencia C. F.,42,29,11,9,9,39,31,8
2000,7,R. C. Celta de Vigo,53,38,15,8,15,45,43,2,7,R. C. Celta de Vigo,42,29,13,3,13,39,37,2
2000,8,Real Valladolid C. F.,53,38,14,11,13,36,44,-8,8,Rayo Vallecano,38,29,11,5,13,40,43,-3
2000,9,Rayo Vallecano,52,38,15,7,16,51,53,-2,9,Real Valladolid C. F.,38,29,10,8,11,27,35,-8
2000,10,R. C. D. Mallorca,51,38,14,9,15,52,45,7,10,R. C. D. Mallorca,38,29,10,8,11,36,37,-1
2000,11,Athletic Club,50,38,12,14,12,47,57,-10,11,Málaga C. F.,38,29,9,11,9,41,38,3
2000,12,Málaga C. F.,48,38,11,15,12,55,50,5,12,Athletic Club,37,29,9,10,10,37,46,-9
2000,13,Real Sociedad,47,38,11,14,13,42,49,-7,13,R. C. D. Espanyol,36,29,9,9,11,44,40,4
2000,14,R. C. D. Espanyol,47,38,12,11,15,51,48,3,14,Racing de Santander,36,29,9,9,11,42,41,1
2000,15,Racing de Santander,46,38,10,16,12,52,50,2,15,Real Sociedad,35,29,8,11,10,31,36,-5
